INFO:root:[2025-10-24 10:11:58] BLOCKED: Ether / IP / ICMP 192.168.0.1 > 192.168.0.106 echo-request 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:11:58] BLOCKED: Ether / IP / ICMP 192.168.0.106 > 192.168.0.1 echo-reply 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:11:59] BLOCKED: Ether / IP / ICMP 192.168.0.1 > 192.168.0.106 echo-request 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:11:59] BLOCKED: Ether / IP / ICMP 192.168.0.106 > 192.168.0.1 echo-reply 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:18:06] BLOCKED: Ether / IP / ICMP 192.168.0.1 > 192.168.0.106 echo-request 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:18:06] BLOCKED: Ether / IP / ICMP 192.168.0.106 > 192.168.0.1 echo-reply 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:18:07] BLOCKED: Ether / IP / ICMP 192.168.0.1 > 192.168.0.106 echo-request 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 10:18:07] BLOCKED: Ether / IP / ICMP 192.168.0.106 > 192.168.0.1 echo-reply 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 11:12:48] BLOCKED: Ether / IP / ICMP 192.168.0.1 > 192.168.0.106 echo-request 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 11:12:48] BLOCKED: Ether / IP / ICMP 192.168.0.106 > 192.168.0.1 echo-reply 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 11:12:49] BLOCKED: Ether / IP / ICMP 192.168.0.1 > 192.168.0.106 echo-request 0 / Raw | Reason: Blocked Protocol: 1
INFO:root:[2025-10-24 11:12:49] BLOCKED: Ether / IP / ICMP 192.168.0.106 > 192.168.0.1 echo-reply 0 / Raw | Reason: Blocked Protocol: 1
